,meta_game_name,meta_platform,meta_publisher,meta_release_date,meta_critic_score,meta_user_score,meta_esrb,meta_genre,meta_multiplayer,meta_full_url
250,"
James Bond 007: Blood Stone
","

                                                        PlayStation 3
                                                    
","

                                                        Activision
                                                    
","Nov  2, 2010",65,"
7.4
",T,Action,yes,https://www.metacritic.com/game/playstation-3/james-bond-007-blood-stone
251,"
Transformers: Revenge of the Fallen
","

                                                        PlayStation 3
                                                    
","

                                                        Activision
                                                    
","Jun 23, 2009",63,"
6.9
",T,Action,yes,https://www.metacritic.com/game/playstation-3/transformers-revenge-of-the-fallen
252,"
Metal Gear Solid HD Collection
","

                                                        Xbox 360
                                                    
","

                                                        Konami
                                                    
","Nov  8, 2011",90,"
8.8
",M,Miscellaneous,yes,https://www.metacritic.com/game/xbox-360/metal-gear-solid-hd-collection
253,"
Mafia
","

                                                        PlayStation 2
                                                    
","

                                                        Gathering
                                                    
","Jan 28, 2004",65,"
8.3
",M,Action Adventure,no,https://www.metacritic.com/game/playstation-2/mafia
254,"
Metal Gear Solid: Portable Ops Plus
","
                                                        PSP
                                    		    ","

                                                        Konami
                                                    
","Nov 13, 2007",65,"
7.5
",T,Action Adventure,yes,https://www.metacritic.com/game/psp/metal-gear-solid-portable-ops-plus
255,"
Mortal Kombat: Shaolin Monks
","

                                                        PlayStation 2
                                                    
","

                                                        Midway
                                                    
","Sep 16, 2005",77,"
8.8
",M,Action,yes,https://www.metacritic.com/game/playstation-2/mortal-kombat-shaolin-monks
256,"
Prince of Persia: The Forgotten Sands
","

                                                        PlayStation 3
                                                    
","

                                                        Ubisoft
                                                    
","May 18, 2010",75,"
7.4
",T,Action Adventure,no,https://www.metacritic.com/game/playstation-3/prince-of-persia-the-forgotten-sands
257,"
The Lord of the Rings: The Return of the King
","
                                                        GameCube
                                    		    ","

                                                        EA Games
                                                    
","Nov  5, 2003",84,"
8.2
",T,Action,yes,https://www.metacritic.com/game/gamecube/the-lord-of-the-rings-the-return-of-the-king
258,"
DreamWorks Shrek the Third
","

                                                        Xbox 360
                                                    
","

                                                        Activision
                                                    
","May 15, 2007",56,"
4.6
",E10+,Action,no,https://www.metacritic.com/game/xbox-360/shrek-the-third
259,"
Shark Tale
","
                                                        Game Boy Advance
                                    		    ","

                                                        Activision
                                                    
","Sep 27, 2004",63,"
7.8
",E,Action,no,https://www.metacritic.com/game/game-boy-advance/shark-tale
260,"
Iron Man
","

                                                        PlayStation 3
                                                    
","

                                                        Sega
                                                    
","May  2, 2008",42,"
6.0
",T,Action,no,https://www.metacritic.com/game/playstation-3/iron-man
261,"
LEGO Harry Potter: Years 5-7
","
                                                        DS
                                    		    ","

                                                        Warner Bros. Interactive Entertainment
                                                    
","Nov 11, 2011",69,"
6.5
",E10+,Action Adventure,no,https://www.metacritic.com/game/ds/lego-harry-potter-years-5-7
262,"
Diablo III: Eternal Collection
","

                                                        Switch
                                                    
","

                                                        Blizzard Entertainment
                                                    
","Nov  2, 2018",88,"
7.3
",M,Role-Playing,yes,https://www.metacritic.com/game/switch/diablo-iii-eternal-collection
263,"
LEGO Marvel Super Heroes 2
","

                                                        Switch
                                                    
","

                                                        Warner Bros. Interactive Entertainment
                                                    
","Nov 14, 2017",76,"
7.1
",E10+,Action,no,https://www.metacritic.com/game/switch/lego-marvel-super-heroes-2
264,"
Bakugan Battle Brawlers
","
                                                        Wii
                                    		    ","

                                                        Activision
                                                    
","Oct 20, 2009",62,"
8.0
",E,Action,no,https://www.metacritic.com/game/wii/bakugan-battle-brawlers
265,"
Castlevania: Lords of Shadow
","

                                                        Xbox 360
                                                    
","

                                                        Konami
                                                    
","Oct  5, 2010",83,"
7.9
",M,Action Adventure,no,https://www.metacritic.com/game/xbox-360/castlevania-lords-of-shadow
266,"
Finding Nemo
","
                                                        Xbox
                                    		    ","

                                                        THQ
                                                    
","May  9, 2003",63,"
7.4
",E,Action Adventure,no,https://www.metacritic.com/game/xbox/finding-nemo
267,"
One Piece: Pirate Warriors 2
","

                                                        PlayStation 3
                                                    
","

                                                        Namco Bandai Games
                                                    
","Sep  3, 2013",71,"
7.8
",T,Action,yes,https://www.metacritic.com/game/playstation-3/one-piece-pirate-warriors-2
268,"
Fist of the North Star: Ken's Rage
","

                                                        PlayStation 3
                                                    
","

                                                        Tecmo
                                                    
					, 						
                                                        Tecmo Koei Games
                                                    
","Nov  2, 2010",60,"
7.0
",M,Action,no,https://www.metacritic.com/game/playstation-3/fist-of-the-north-star-kens-rage
269,"
Shrek: Hassle at the Castle
","
                                                        Game Boy Advance
                                    		    ","

                                                        TDK Mediactive
                                                    
","Oct 10, 2002",71,"
7.4
",E,Action,yes,https://www.metacritic.com/game/game-boy-advance/shrek-hassle-at-the-castle
270,"
Transformers: The Game
","
                                                        PSP
                                    		    ","

                                                        Activision
                                                    
","Jun 19, 2007",47,"
5.4
",E10+,Action Adventure,yes,https://www.metacritic.com/game/psp/transformers-the-game
